iter	Passed	Remaining
0	135	135237
1	136	68303
2	138	46004
3	139	34854
4	141	28151
5	142	23671
6	144	20461
7	145	18050
8	146	16176
9	148	14682
10	149	13461
11	151	12437
12	152	11569
13	153	10825
14	155	10183
15	156	9611
16	157	9107
17	158	8656
18	159	8254
19	161	7895
20	162	7567
21	163	7264
22	164	6983
23	165	6725
24	166	6486
25	167	6262
26	167	6053
27	168	5856
28	169	5672
29	170	5500
30	170	5339
31	171	5185
32	172	5040
33	172	4903
34	173	4772
35	173	4648
36	174	4530
37	174	4419
38	175	4313
39	175	4212
40	175	4116
41	176	4024
42	176	3937
43	177	3853
44	177	3773
45	178	3697
46	178	3623
47	179	3553
48	179	3485
49	180	3420
50	180	3358
51	180	3298
52	181	3240
53	181	3184
54	182	3131
55	182	3080
56	183	3030
57	183	2982
58	184	2935
59	184	2890
60	184	2847
61	185	2804
62	185	2764
63	186	2724
64	186	2685
65	187	2648
66	187	2612
67	187	2574
68	188	2540
69	188	2506
70	189	2474
71	189	2443
72	190	2413
73	190	2383
74	190	2354
75	191	2326
76	191	2298
77	192	2271
78	192	2245
79	193	2220
80	193	2195
81	193	2171
82	194	2147
83	194	2124
84	195	2100
85	195	2078
86	195	2055
87	196	2034
88	196	2014
89	197	1994
90	197	1974
91	198	1955
92	198	1936
93	198	1917
94	199	1899
95	199	1881
96	200	1864
97	200	1847
98	201	1830
99	201	1814
100	202	1798
101	202	1780
102	202	1765
103	203	1750
104	203	1735
105	204	1720
106	204	1706
107	204	1692
108	205	1678
109	205	1664
110	206	1651
111	206	1638
112	207	1625
113	207	1612
114	207	1600
115	208	1587
116	208	1575
117	209	1563
118	209	1551
119	209	1539
120	210	1528
121	210	1517
122	211	1504
123	211	1494
124	211	1483
125	212	1473
126	212	1462
127	213	1451
128	213	1441
129	213	1432
130	214	1422
131	214	1413
132	215	1403
133	215	1394
134	216	1385
135	216	1376
136	217	1367
137	217	1358
138	217	1349
139	218	1341
140	218	1332
141	219	1324
142	219	1316
143	220	1308
144	220	1300
145	221	1292
146	221	1285
147	221	1277
148	222	1269
149	222	1262
150	223	1255
151	223	1247
152	224	1240
153	224	1233
154	224	1226
155	225	1219
156	225	1212
157	226	1205
158	226	1199
159	227	1192
160	227	1186
161	228	1179
162	228	1173
163	228	1166
164	229	1160
165	229	1154
166	230	1148
167	230	1142
168	231	1136
169	231	1130
170	231	1124
171	232	1118
172	232	1113
173	233	1107
174	233	1101
175	234	1096
176	234	1090
177	235	1085
178	235	1080
179	235	1074
180	236	1068
181	236	1063
182	237	1058
183	237	1052
184	237	1047
185	238	1042
186	238	1038
187	239	1033
188	239	1028
189	240	1023
190	240	1018
191	240	1013
192	241	1009
193	241	1004
194	242	1000
195	242	995
196	243	991
197	243	986
198	244	982
199	244	978
200	244	973
201	245	969
202	245	965
203	246	960
204	246	956
205	247	952
206	247	948
207	248	944
208	248	940
209	248	936
210	249	932
211	249	928
212	250	924
213	250	920
214	251	916
215	251	912
216	251	909
217	252	905
218	252	901
219	253	897
220	253	894
221	254	890
222	254	886
223	254	883
224	255	879
225	255	876
226	256	872
227	256	869
228	257	865
229	257	862
230	257	858
231	258	855
232	258	852
233	259	848
234	259	845
235	260	842
236	260	839
237	261	835
238	261	832
239	261	829
240	262	826
241	262	823
242	263	819
243	263	816
244	264	813
245	264	810
246	264	807
247	265	804
248	265	801
249	266	798
250	266	795
251	267	792
252	267	789
253	267	786
254	268	784
255	268	781
256	269	778
257	269	775
258	270	772
259	270	770
260	271	767
261	271	764
262	271	761
263	272	759
264	272	756
265	273	753
266	273	751
267	274	748
268	274	745
269	274	743
270	275	740
271	275	738
272	276	735
273	276	733
274	277	730
275	277	728
276	278	725
277	278	723
278	278	720
279	279	718
280	279	716
281	280	713
282	280	711
283	281	708
284	281	706
285	282	704
286	282	701
287	282	699
288	283	697
289	283	694
290	284	692
291	284	690
292	285	687
293	285	685
294	285	683
295	286	681
296	286	679
297	287	676
298	287	674
299	288	672
300	288	670
301	289	668
302	289	665
303	289	663
304	290	661
305	290	659
306	291	657
307	291	655
308	292	653
309	292	651
310	293	649
311	293	647
312	293	645
313	294	643
314	294	641
315	295	639
316	295	637
